Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2,BrakePressure
1970-01-01 00:00:09.859,-177.93,-80.91,166.70,-15.93,-3.62,5.08,-6.14,-6.54,5.08,-3.44,4.25,-57.97,53.16,0.63,-0.77,-0.05,0.06,61.36,0.67,153
1970-01-01 00:00:09.939,-175.24,-82.54,164.03,110.63,-6.50,-0.75,-3.31,-6.54,-0.75,-3.44,4.14,6.83,5.15,0.63,-0.77,-0.04,0.05,61.23,0.67,158
1970-01-01 00:00:10.020,-172.10,-83.59,161.11,-19.92,-2.62,4.20,-7.41,-2.42,4.20,2.24,1.34,-7.27,31.11,0.64,-0.77,-0.03,0.05,61.23,0.67,158
1970-01-01 00:00:10.081,-172.10,-83.59,161.11,-55.15,-2.24,1.52,-9.82,-2.42,1.52,2.24,3.92,-5.48,-4.59,0.64,-0.77,-0.03,0.05,61.29,0.61,157
1970-01-01 00:00:10.159,-167.86,-84.33,156.92,-125.51,-2.24,0.67,-11.24,-0.04,0.67,0.55,0.90,-15.00,11.30,0.64,-0.77,-0.02,0.04,61.36,0.61,158
1970-01-01 00:00:10.221,-167.53,-84.78,157.24,49.78,-1.51,-1.70,-10.55,-0.04,-1.70,0.55,-1.57,-3.13,3.13,0.64,-0.77,-0.02,0.04,61.48,0.61,155
1970-01-01 00:00:10.290,-168.72,-85.47,158.36,-193.62,-3.46,0.44,-9.05,-6.46,0.44,-0.09,-3.92,23.95,6.27,0.64,-0.77,-0.02,0.03,61.23,0.67,163
1970-01-01 00:00:10.370,-169.33,-86.15,158.92,-30.98,1.25,2.78,-8.21,4.20,2.78,-0.08,-4.25,-4.59,18.02,0.64,-0.77,-0.02,0.03,61.42,0.61,192
1970-01-01 00:00:10.430,-170.58,-86.73,160.82,-76.56,0.25,1.13,-12.16,4.20,1.13,-0.08,-3.25,3.80,-3.36,0.64,-0.76,-0.01,0.02,61.17,0.67,204
1970-01-01 00:00:10.500,-171.77,-86.76,161.60,39.45,1.32,-2.20,-9.36,8.07,-2.20,1.77,-3.36,-1.45,10.52,0.64,-0.77,-0.01,0.02,61.29,0.61,198
1970-01-01 00:00:10.580,-163.02,-87.06,153.27,353.77,-0.29,-0.25,-10.28,0.84,-0.25,-2.13,3.47,-12.53,24.06,0.64,-0.76,-0.01,0.02,61.11,0.67,202
1970-01-01 00:00:10.650,-159.14,-87.35,149.36,130.77,-0.48,-0.67,-10.66,0.84,-0.67,-2.13,0.90,-7.50,13.99,0.64,-0.76,-0.01,0.02,61.36,0.67,212
1970-01-01 00:00:10.710,-153.83,-87.51,143.61,-238.32,0.37,0.37,-12.16,0.84,0.37,-2.13,2.80,1.79,12.31,0.64,-0.77,-0.01,0.02,61.29,0.67,210
1970-01-01 00:00:10.781,-150.57,-87.43,140.66,130.89,1.44,-0.67,-11.81,2.48,-0.67,3.60,-1.45,26.19,-3.58,0.64,-0.77,-0.00,0.02,61.23,0.67,215
1970-01-01 00:00:10.861,-150.51,-87.58,140.50,-4484.19,1.29,0.02,-11.70,1.63,0.02,1.59,0.90,12.31,-13.54,0.64,-0.77,-0.00,0.02,61.29,0.73,213
