Timestamp,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,ShockPot1,ShockPot2,BrakePressure,qw,qx,qy,qz
16947384,1.18,-9.57,0.82,0.00,-0.01,-0.00,0.61,0.55,-343.79,0.13,-0.05,-0.67,0.72
17051578,1.18,-9.53,0.79,0.12,0.05,0.25,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
17156895,1.07,-9.68,0.59,0.00,0.04,-0.01,0.61,0.55,-341.45,0.13,-0.05,-0.68,0.72
17266578,1.07,-9.57,0.48,-0.04,0.08,-0.03,0.61,0.55,-343.79,0.13,-0.05,-0.68,0.72
17387404,1.18,-9.53,-0.02,0.09,-0.02,0.00,0.61,0.55,-341.45,0.13,-0.04,-0.70,0.70
17502175,1.22,-9.64,-0.10,0.00,0.01,0.20,0.61,0.55,-341.45,0.13,-0.04,-0.72,0.68
17606578,1.18,-9.64,-0.82,0.08,-0.04,0.11,0.61,0.55,-341.45,0.13,-0.04,-0.72,0.68
17711578,1.26,-9.60,-0.90,0.02,-0.05,0.02,0.61,0.55,-341.45,0.13,-0.04,-0.72,0.68
17826578,1.64,-9.64,-0.71,-0.91,0.89,-1.43,0.61,0.55,-341.45,0.13,-0.05,-0.74,0.66
17941578,1.07,-9.56,-1.44,-0.24,-0.07,-0.25,0.61,0.55,-341.45,0.14,-0.06,-0.75,0.65
18057159,1.52,-9.72,-1.93,0.29,-0.32,-0.07,0.61,0.55,-341.45,0.15,-0.07,-0.76,0.63
18171578,1.95,-8.95,-1.70,0.00,-0.21,0.14,0.61,0.55,-341.45,0.20,-0.08,-0.77,0.60
18281590,2.71,-8.72,-2.43,0.44,0.22,0.73,0.61,0.55,-341.45,0.21,-0.09,-0.79,0.56
18386578,2.33,-8.60,-3.05,0.29,0.02,0.39,0.61,0.55,-341.45,0.20,-0.10,-0.81,0.54
18511578,1.95,-8.64,-3.85,-0.05,0.07,-0.04,0.61,0.55,-341.45,0.19,-0.10,-0.83,0.52
18606578,1.56,-8.68,-4.23,-0.10,-0.03,-0.13,0.61,0.55,-341.45,0.17,-0.10,-0.83,0.51
18731578,1.14,-8.54,-4.85,-0.07,0.12,-0.28,0.61,0.61,-341.45,0.14,-0.11,-0.85,0.49
18837571,0.99,-8.07,-5.69,0.10,0.02,0.05,0.61,0.55,-341.45,0.14,-0.11,-0.87,0.47
18951578,1.18,-7.73,-5.42,0.06,0.12,0.09,0.61,0.55,-341.45,0.12,-0.12,-0.88,0.44
19076578,1.07,-7.50,-6.19,0.13,0.14,-0.11,0.55,0.55,-341.45,0.11,-0.12,-0.89,0.43
19186646,1.07,-7.19,-6.38,0.12,0.07,0.00,0.61,0.55,-341.45,0.11,-0.12,-0.90,0.40
19301578,0.87,-6.80,-7.34,0.02,-0.19,-0.20,0.61,0.55,-341.45,0.11,-0.13,-0.92,0.36
19406675,0.84,-6.08,-7.72,0.02,0.14,-0.24,0.61,0.55,-339.11,0.09,-0.13,-0.93,0.33
19527793,1.22,-5.12,-8.45,-0.07,0.11,0.06,0.61,0.55,-341.45,0.08,-0.14,-0.95,0.26
19646578,1.10,-3.70,-9.05,0.22,0.25,0.36,0.61,0.55,-341.45,0.07,-0.14,-0.97,0.20
19747083,0.68,-2.71,-9.29,0.16,-0.05,-0.70,0.55,0.55,-341.45,0.07,-0.15,-0.97,0.16
19866578,0.95,-1.79,-9.41,0.21,0.17,0.02,0.61,0.55,-341.45,0.06,-0.17,-0.98,0.10
19967072,0.80,-1.18,-9.86,0.05,0.45,-0.32,0.61,0.55,-341.45,0.05,-0.17,-0.98,0.07
20096662,0.61,-0.91,-10.05,0.03,-0.02,-0.32,0.61,0.55,-341.45,0.04,-0.17,-0.98,0.04
20217088,0.61,-0.25,-10.32,-0.08,-0.21,-0.91,0.61,0.55,-341.45,0.03,-0.17,-0.99,0.01
20326958,0.41,0.43,-8.99,0.25,0.33,0.94,0.61,0.55,-341.45,0.01,-0.16,-0.99,-0.02
20446578,0.41,0.05,-10.60,-0.38,-0.21,-0.99,0.67,0.55,-343.79,0.03,-0.16,-0.99,-0.02
20556758,0.87,-0.10,-9.79,0.18,-0.01,-0.10,0.61,0.55,-341.45,0.04,-0.16,-0.99,-0.01
20666865,0.80,-0.45,-10.02,0.05,0.10,-0.51,0.61,0.55,-343.79,0.04,-0.16,-0.99,0.02
20776767,0.84,-0.45,-9.86,0.05,0.08,-0.12,0.61,0.55,-341.45,0.05,-0.16,-0.99,0.02
20886578,0.76,-0.45,-9.90,0.03,0.05,-0.07,0.61,0.55,-341.45,0.04,-0.16,-0.99,0.02
