Timestamp,ax,ay,az,qw,qx,qy,qz
10107011,4.97,-0.37,8.95,0.81,0.12,-0.20,0.53
10182011,4.28,1.05,8.63,0.81,0.11,-0.19,0.55
10252011,3.79,-0.64,8.79,0.80,0.10,-0.18,0.57
10327011,2.75,-1.21,9.18,0.79,0.09,-0.17,0.59
10392011,1.91,-1.60,9.33,0.77,0.04,-0.15,0.62
10452011,1.56,-2.32,9.21,0.76,0.01,-0.14,0.64
10532011,1.26,-1.98,9.29,0.74,-0.02,-0.12,0.66
10602011,1.75,-1.14,9.37,0.74,-0.02,-0.11,0.67
10672011,1.03,-1.48,8.99,0.75,-0.02,-0.10,0.65
10742011,1.10,-1.60,9.05,0.75,-0.01,-0.10,0.65
10822011,0.95,-1.71,9.52,0.76,-0.01,-0.08,0.64
10892011,0.30,-1.75,9.52,0.77,-0.03,-0.07,0.63
10957011,0.18,-1.41,9.68,0.78,-0.05,-0.06,0.63
11027011,-0.05,-1.37,9.44,0.78,-0.06,-0.05,0.62
11107011,-0.81,-3.17,9.79,0.78,-0.09,-0.05,0.62
11177011,-0.89,-4.36,9.52,0.76,-0.15,-0.04,0.63
11252011,-3.00,-4.78,7.06,0.73,-0.18,0.01,0.66
11322011,-2.84,-0.25,10.63,0.67,-0.16,-0.00,0.73
11392011,-1.35,-1.94,8.14,0.65,-0.16,0.00,0.75
11467011,-1.46,-0.37,8.91,0.62,-0.14,0.00,0.77
11537011,-1.92,0.05,7.42,0.60,-0.10,-0.02,0.79
11612011,0.07,-3.55,3.74,0.60,-0.08,-0.07,0.79
11687011,-0.39,-3.01,9.05,0.56,-0.08,-0.09,0.82
11767011,0.41,-0.68,8.98,0.52,-0.05,-0.08,0.85
11837011,0.49,-0.41,10.63,0.46,-0.03,-0.07,0.88
11902011,-1.20,-1.37,7.80,0.38,-0.01,-0.04,0.92
11977011,0.84,-1.63,10.94,0.29,0.00,-0.04,0.95
12047011,1.29,0.05,9.71,0.19,0.01,-0.03,0.98
12127011,1.33,-1.52,9.94,0.11,-0.00,-0.03,0.99
12207011,0.30,-0.18,9.60,0.09,0.01,-0.04,1.00
12282011,-1.54,-3.74,9.63,0.10,0.00,-0.04,0.99
12357011,-0.12,-1.21,9.64,0.10,0.00,-0.05,0.99
12432011,-0.05,-0.98,9.79,0.10,0.01,-0.04,0.99
12507011,-0.20,-0.95,9.25,0.10,0.00,-0.04,0.99
12582011,-0.12,-0.83,9.59,0.11,0.00,-0.04,0.99
12662011,-0.16,-0.52,9.75,0.11,0.00,-0.03,0.99
12737011,-0.09,-0.60,9.60,0.11,0.00,-0.02,0.99
12812011,-0.09,-0.33,9.64,0.11,0.00,-0.02,0.99
12887011,-0.12,-0.22,9.55,0.11,0.00,-0.02,0.99
12967011,-0.16,-0.41,9.55,0.11,0.00,-0.02,0.99
13042011,-0.16,-0.37,9.52,0.11,-0.00,-0.02,0.99
13117011,-0.20,-0.29,9.68,0.11,-0.00,-0.02,0.99
13192011,-0.16,-0.25,9.52,0.11,-0.00,-0.01,0.99
13267011,-0.16,-0.25,9.64,0.11,-0.00,-0.01,0.99
13352011,-0.16,-0.14,9.52,0.11,-0.00,-0.01,0.99
13432011,-0.12,-0.14,9.56,0.11,-0.00,-0.01,0.99
13507011,-0.16,-0.14,9.59,0.11,-0.00,-0.01,0.99
13587011,-0.16,-0.25,9.55,0.12,-0.00,-0.01,0.99
13662011,-0.12,-0.14,9.56,0.12,-0.00,-0.01,0.99
13742011,-0.12,-0.06,9.60,0.12,-0.00,-0.01,0.99
13817011,-0.09,-0.10,9.60,0.12,-0.00,-0.01,0.99
13897011,-0.12,-0.18,9.56,0.12,-0.00,-0.01,0.99
13972011,-0.16,-0.10,9.55,0.12,-0.00,-0.01,0.99
14047011,-0.16,-0.03,9.60,0.12,-0.00,-0.01,0.99
14137011,-0.12,-0.14,9.63,0.12,-0.01,-0.01,0.99
14212011,-0.16,-0.18,9.63,0.12,-0.01,-0.01,0.99
14297011,-0.16,-0.14,9.59,0.12,-0.01,-0.01,0.99
14377011,-0.16,-0.10,9.55,0.12,-0.01,-0.01,0.99
14457011,-0.16,-0.14,9.56,0.12,-0.01,-0.00,0.99
14537011,-0.12,-0.10,9.64,0.12,-0.01,-0.00,0.99
14622011,-0.16,-0.06,9.55,0.12,-0.01,-0.00,0.99
14702011,-0.16,-0.06,9.55,0.12,-0.01,-0.00,0.99
14787011,-0.16,-0.06,9.64,0.12,-0.01,-0.00,0.99
14872011,-0.16,-0.10,9.60,0.12,-0.01,-0.00,0.99
14952011,-0.16,-0.06,9.60,0.12,-0.01,-0.00,0.99
15032011,-0.12,-0.06,9.55,0.12,-0.01,-0.00,0.99
15112011,-0.16,-0.06,9.60,0.12,-0.01,-0.00,0.99
15197011,-0.16,-0.10,9.60,0.12,-0.01,-0.00,0.99
15277011,-0.12,-0.03,9.60,0.12,-0.01,-0.00,0.99
15357011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
15447298,-0.16,-0.10,9.60,0.12,-0.01,-0.00,0.99
15527011,-0.16,-0.06,9.64,0.12,-0.01,-0.00,0.99
15607011,-0.16,-0.06,9.60,0.12,-0.01,-0.00,0.99
15687011,-0.16,-0.06,9.55,0.12,-0.01,-0.00,0.99
15767011,-0.16,-0.06,9.60,0.12,-0.01,-0.00,0.99
15837011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
15917011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
15992011,-0.16,-0.03,9.55,0.12,-0.01,-0.00,0.99
16077011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
16152011,-0.16,-0.03,9.55,0.12,-0.01,-0.00,0.99
16232011,-0.16,0.01,9.56,0.12,-0.01,-0.00,0.99
16312011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
16382011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
16467011,-0.16,-0.03,9.60,0.12,-0.01,-0.00,0.99
16537011,-0.16,-0.06,9.60,0.12,-0.01,0.00,0.99
16617011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
16697011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
16772011,-0.16,-0.06,9.60,0.12,-0.01,0.00,0.99
16847011,-0.16,0.01,9.63,0.12,-0.01,0.00,0.99
16927011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
17002011,-0.16,0.01,9.56,0.12,-0.01,0.00,0.99
17087313,-0.16,0.01,9.56,0.12,-0.01,0.00,0.99
17157011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
17232011,-0.16,0.01,9.56,0.12,-0.01,0.00,0.99
17312011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
17382011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
17457011,-0.16,-0.03,9.64,0.12,-0.01,0.00,0.99
17537011,-0.16,0.05,9.60,0.12,-0.01,0.00,0.99
17617011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
17697011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
17782011,-0.16,0.01,9.63,0.12,-0.01,0.00,0.99
17847011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
17927311,-0.16,0.05,9.60,0.12,-0.01,0.00,0.99
17997011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
18067011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
18142011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
18227011,-0.16,0.05,9.55,0.12,-0.01,0.00,0.99
18302011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
18382011,-0.16,0.01,9.56,0.12,-0.01,0.00,0.99
